Sr no,Frames,Expression,Direction,Eye Movement,Label
60,c24_face60.jpg,neutral,Forward,center,1
61,c24_face61.jpg,sad,Forward,center,0
62,c24_face62.jpg,neutral,Forward,closed,1
63,c24_face63.jpg,neutral,Forward,center,1
64,c24_face64.jpg,neutral,Forward,closed,1
65,c24_face65.jpg,neutral,Forward,center,1
66,c24_face66.jpg,neutral,Forward,center,1
67,c24_face67.jpg,neutral,Forward,center,1
68,c24_face68.jpg,neutral,Forward,center,1
69,c24_face69.jpg,neutral,Forward,center,1
70,c24_face70.jpg,neutral,Forward,center,1
71,c24_face71.jpg,neutral,Forward,center,1
72,c24_face72.jpg,neutral,Forward,center,1
73,c24_face73.jpg,sad,Forward,closed,0
74,c24_face74.jpg,neutral,Forward,center,1
75,c24_face75.jpg,neutral,Forward,center,1
76,c24_face76.jpg,neutral,Forward,center,1
77,c24_face77.jpg,sad,Forward,center,0
78,c24_face78.jpg,neutral,Forward,center,1
79,c24_face79.jpg,neutral,Forward,center,1
80,c24_face80.jpg,neutral,Forward,center,1
81,c24_face81.jpg,neutral,Forward,center,1
82,c24_face82.jpg,neutral,Forward,center,1
83,c24_face83.jpg,neutral,Forward,center,1
84,c24_face84.jpg,neutral,Forward,center,1
85,c24_face85.jpg,neutral,Forward,center,1
86,c24_face86.jpg,neutral,Forward,center,1
87,c24_face87.jpg,fear,Looking Left,left,0
88,c24_face88.jpg,neutral,Forward,center,1
89,c24_face89.jpg,neutral,Forward,center,1
90,c24_face90.jpg,neutral,Forward,center,1
91,c24_face91.jpg,neutral,Forward,center,1
92,c24_face92.jpg,neutral,Forward,center,1
93,c24_face93.jpg,neutral,Forward,center,1
94,c24_face94.jpg,neutral,Forward,center,1
95,c24_face95.jpg,neutral,Forward,right,1
96,c24_face96.jpg,neutral,Forward,closed,0
97,c24_face97.jpg,sad,Looking Down,closed,0
98,c24_face98.jpg,neutral,Forward,center,1
99,c24_face99.jpg,neutral,Looking Left,left,0
100,c24_face100.jpg,neutral,Looking Left,left,0
101,c24_face101.jpg,neutral,Forward,center,1
102,c24_face102.jpg,neutral,Forward,center,1
103,c24_face103.jpg,neutral,Looking Left,left,0
104,c24_face104.jpg,neutral,Forward,center,1
105,c24_face105.jpg,sad,Forward,center,0
106,c24_face106.jpg,neutral,Forward,center,1
107,c24_face107.jpg,neutral,Looking Left,left,0
108,c24_face108.jpg,neutral,Forward,closed,0
109,c24_face109.jpg,neutral,Forward,center,1
110,c24_face110.jpg,neutral,Forward,center,1
111,c24_face111.jpg,neutral,Forward,center,1
112,c24_face112.jpg,angry,Looking Down,down,0
113,c24_face113.jpg,neutral,Forward,center,1
114,c24_face114.jpg,neutral,Looking Left,left,0
115,c24_face115.jpg,neutral,Forward,center,1
116,c24_face116.jpg,neutral,Looking Left,left,0
117,c24_face117.jpg,neutral,Forward,center,1
118,c24_face118.jpg,neutral,Forward,center,1
119,c24_face119.jpg,neutral,Forward,center,1
120,c24_face120.jpg,neutral,Forward,center,1
121,c24_face121.jpg,neutral,Forward,center,1
122,c24_face122.jpg,neutral,Forward,center,1
123,c24_face123.jpg,neutral,Forward,center,1
124,c24_face124.jpg,neutral,Forward,center,1
125,c24_face125.jpg,neutral,Forward,center,1
126,c24_face126.jpg,neutral,Forward,center,1
127,c24_face127.jpg,neutral,Forward,center,1
128,c24_face128.jpg,neutral,Forward,center,1
129,c24_face129.jpg,neutral,Forward,center,1
130,c24_face130.jpg,neutral,Forward,center,1
131,c24_face131.jpg,sad,Forward,center,0
132,c24_face132.jpg,neutral,Forward,center,1
133,c24_face133.jpg,neutral,Forward,center,1
134,c24_face134.jpg,neutral,Looking Left,center,0
135,c24_face135.jpg,neutral,Forward,center,1
136,c24_face136.jpg,neutral,Forward,center,1
137,c24_face137.jpg,neutral,Forward,right,1
138,c24_face138.jpg,neutral,Forward,right,1
139,c24_face139.jpg,neutral,Forward,right,1
140,c24_face140.jpg,neutral,Forward,center,1
141,c24_face141.jpg,neutral,Forward,center,1
142,c24_face142.jpg,neutral,Forward,center,1
143,c24_face143.jpg,neutral,Forward,center,1
144,c24_face144.jpg,neutral,Forward,center,1
145,c24_face145.jpg,neutral,Forward,center,1
146,c24_face146.jpg,neutral,Forward,center,1
147,c24_face147.jpg,neutral,Forward,center,1
148,c24_face148.jpg,neutral,Forward,center,1
149,c24_face149.jpg,neutral,Forward,center,1
150,c24_face150.jpg,neutral,Forward,center,1
151,c24_face151.jpg,neutral,Forward,center,1
152,c24_face152.jpg,neutral,Forward,center,1
153,c24_face153.jpg,neutral,Forward,center,1
154,c24_face154.jpg,neutral,Forward,center,1
155,c24_face155.jpg,neutral,Forward,center,1
156,c24_face156.jpg,neutral,Forward,center,1
157,c24_face157.jpg,neutral,Forward,center,1
158,c24_face158.jpg,neutral,Forward,center,1
159,c24_face159.jpg,neutral,Forward,center,1
160,c24_face160.jpg,neutral,Forward,center,1
161,c24_face161.jpg,neutral,Forward,center,1
162,c24_face162.jpg,neutral,Forward,center,1
163,c24_face163.jpg,neutral,Forward,center,1
164,c24_face164.jpg,neutral,Forward,center,1
165,c24_face165.jpg,neutral,Forward,center,1
166,c24_face166.jpg,neutral,Forward,center,1
167,c24_face167.jpg,neutral,Forward,center,1
168,c24_face168.jpg,neutral,Forward,center,1
169,c24_face169.jpg,neutral,Forward,center,1
170,c24_face170.jpg,neutral,Forward,center,1
171,c24_face171.jpg,neutral,Forward,center,1
172,c24_face172.jpg,neutral,Forward,center,1
173,c24_face173.jpg,neutral,Forward,center,1
174,c24_face174.jpg,neutral,Forward,center,1
175,c24_face175.jpg,neutral,Forward,center,1
176,c24_face176.jpg,neutral,Forward,center,1
177,c24_face177.jpg,neutral,Forward,center,1
178,c24_face178.jpg,neutral,Forward,center,1
179,c24_face179.jpg,angry,Looking Left,left,1
180,c24_face180.jpg,neutral,Forward,center,1
181,c24_face181.jpg,neutral,Forward,center,1
182,c24_face182.jpg,neutral,Forward,center,1
183,c24_face183.jpg,neutral,Forward,center,1
184,c24_face184.jpg,neutral,Forward,center,1
185,c24_face185.jpg,neutral,Forward,center,1
186,c24_face186.jpg,neutral,Forward,center,1
187,c24_face187.jpg,neutral,Forward,center,1
188,c24_face188.jpg,neutral,Forward,center,1
189,c24_face189.jpg,neutral,Forward,center,1
190,c24_face190.jpg,neutral,Forward,center,1
191,c24_face191.jpg,neutral,Forward,center,1
192,c24_face192.jpg,neutral,Forward,center,1
193,c24_face193.jpg,neutral,Forward,center,1
194,c24_face194.jpg,neutral,Forward,center,1
195,c24_face195.jpg,neutral,Forward,center,1
196,c24_face196.jpg,neutral,Forward,center,1
197,c24_face197.jpg,neutral,Forward,center,1
198,c24_face198.jpg,neutral,Forward,center,1
199,c24_face199.jpg,neutral,Forward,center,1
200,c24_face200.jpg,neutral,Forward,center,1
